AUTHENTICATE CRAM-MD5.
ready
ready
*OPC is OK (1). 
####	2020/02/13 16:36:21 607,M_1-PreAMP-S_2-D_1_125 
 DATE  ,PK_WL[THZ],LEVEL[dBm],3.0dB WD[nm],CRT WL WL[NM],3.0dB PB[nm],RIPPLE[dB],CROSS TK[L][dB],CROSS TK[R][dB],OFFSET WL[nm],OFFSET LEVEL[dBm],NOISE[dBm][NBW],OSNR[dB] 
2020/02/13 16:38:14 885,194.800,-25.718,239233877,194800823, 0.000,28.714,0,0.02784466, 0.000, 0.000,-46.619,20.895 

2020/02/13 16:38:15 871,194.800,-25.470,224044483,194800853, 0.000,28.980,0.06818640,0.02966491, 0.000, 0.000,-46.620,21.143 

2020/02/13 16:38:16 832,194.800,-25.627,234170818,194800864, 0.000,28.808,0,0.00471691, 0.000, 0.000,-46.628,20.897 

2020/02/13 16:38:17 839,194.800,-25.622,245562864,194800843, 0.000,28.836,0.07269494,0.00893013, 0.000, 0.000,-46.636,21.008 

2020/02/13 16:38:18 825,194.800,-25.559,227841803,194800830, 0.000,28.879,0.08353237,0.02687112, 0.000, 0.000,-46.608,21.043 

2020/02/13 16:38:19 809,194.800,-25.650,229107695,194800874, 0.000,28.790,0.08066780,0.03186371, 0.000, 0.000,-46.647,20.901 

2020/02/13 16:38:20 792,194.800,-25.638,245562864,194800845, 0.000,28.810,0.06233132,0.01359773, 0.000, 0.000,-46.639,21.144 

2020/02/13 16:38:21 776,194.800,-25.733,230373348,194800816, 0.000,28.699,0.07401165,0.01298698, 0.000, 0.000,-46.648,20.909 

2020/02/13 16:38:22 762,194.800,-25.581,230373468,194800865, 0.000,28.877,0.05439326,0.02098278, 0.000, 0.000,-46.629,21.042 

2020/02/13 16:38:23 724,194.800,-25.696,241765547,194800858, 0.000,28.718,0,0.08072105, 0.000, 0.000,-46.627,20.882 

2020/02/13 16:38:24 731,194.800,-25.535,235436560,194800842, 0.000,28.916,0.08559373,0.03194917, 0.000, 0.000,-46.635,21.094 

2020/02/13 16:38:25 713,194.800,-25.579,229107695,194800875, 0.000,28.835,0,0.06158139, 0.000, 0.000,-46.632,21.047 

2020/02/13 16:38:26 698,194.800,-25.484,240499743,194800859, 0.000,28.972,0.07515813,0.04778814, 0.000, 0.000,-46.612,21.061 

2020/02/13 16:38:27 683,194.800,-25.659,239233908,194800835, 0.000,28.770,0,0.05186500, 0.000, 0.000,-46.611,20.989 

